iter	Passed	Remaining
0	158	158813
1	165	82676
2	172	57363
3	179	44671
4	186	37110
5	193	32040
6	200	28436
7	207	25745
8	214	23604
9	221	21880
10	227	20485
11	234	19333
12	241	18343
13	248	17532
14	256	16821
15	263	16207
16	270	15634
17	277	15146
18	286	14779
19	293	14387
20	301	14038
21	307	13664
22	313	13333
23	320	13047
24	328	12806
25	337	12633
26	345	12450
27	353	12257
28	360	12067
29	367	11885
30	374	11695
31	381	11544
32	388	11376
33	394	11208
34	401	11058
35	407	10922
36	414	10780
37	420	10645
38	426	10507
39	432	10380
40	439	10270
41	445	10161
42	452	10061
43	458	9960
44	464	9861
45	470	9760
46	476	9660
47	482	9577
48	488	9489
49	495	9410
50	501	9337
51	509	9286
52	516	9220
53	523	9166
54	529	9104
55	537	9054
56	544	9009
57	552	8972
58	560	8932
59	569	8921
60	576	8880
61	584	8842
62	592	8806
63	599	8769
64	607	8732
65	616	8717
66	624	8695
67	632	8664
68	639	8627
69	646	8583
70	652	8542
71	660	8506
72	667	8474
73	674	8434
74	680	8398
75	688	8376
76	697	8359
77	706	8355
78	716	8356
79	725	8337
80	734	8330
81	743	8325
82	752	8314
83	766	8355
84	775	8353
85	785	8352
86	795	8343
87	802	8321
88	809	8286
89	816	8254
90	822	8220
91	829	8184
92	835	8153
93	842	8120
94	850	8099
95	856	8066
96	863	8040
97	870	8013
98	877	7985
99	883	7954
100	890	7925
101	897	7902
102	903	7871
103	911	7849
104	917	7823
105	925	7801
106	931	7777
107	938	7753
108	945	7727
109	952	7702
110	958	7678
111	965	7656
112	972	7633
113	979	7610
114	985	7584
115	992	7560
116	999	7540
117	1006	7519
118	1012	7495
119	1019	7477
120	1040	7559
121	1070	7707
122	1078	7691
123	1098	7759
124	1105	7741
125	1113	7726
126	1121	7706
127	1128	7689
128	1136	7673
129	1144	7656
130	1151	7635
131	1159	7624
132	1167	7608
133	1174	7592
134	1181	7569
135	1189	7554
136	1196	7536
137	1203	7517
138	1210	7497
139	1216	7475
140	1223	7453
141	1229	7429
142	1236	7410
143	1243	7389
144	1250	7370
145	1256	7348
146	1263	7330
147	1270	7313
148	1277	7294
149	1283	7275
150	1290	7255
151	1296	7233
152	1302	7213
153	1309	7195
154	1316	7179
155	1323	7160
156	1330	7142
157	1337	7125
158	1343	7108
159	1351	7094
160	1358	7077
161	1365	7061
162	1372	7046
163	1379	7032
164	1386	7018
165	1394	7005
166	1401	6991
167	1408	6975
168	1415	6962
169	1423	6950
170	1430	6936
171	1437	6921
172	1444	6906
173	1451	6888
174	1457	6870
175	1463	6853
176	1470	6838
177	1477	6823
178	1483	6806
179	1490	6789
180	1497	6777
181	1504	6761
182	1510	6742
183	1516	6726
184	1523	6710
185	1530	6696
186	1537	6683
187	1544	6671
188	1552	6662
189	1560	6652
190	1568	6643
191	1577	6638
192	1587	6639
193	1596	6633
194	1605	6628
195	1614	6624
196	1624	6623
197	1635	6625
198	1643	6616
199	1654	6616
200	1662	6609
201	1672	6609
202	1684	6615
203	1693	6607
204	1701	6599
205	1709	6588
206	1719	6586
207	1726	6575
208	1735	6567
209	1743	6559
210	1752	6553
211	1761	6545
212	1769	6536
213	1777	6529
214	1787	6524
215	1795	6517
216	1804	6510
217	1813	6505
218	1821	6497
219	1830	6488
220	1837	6477
221	1846	6470
222	1853	6458
223	1860	6446
224	1868	6435
225	1875	6424
226	1883	6414
227	1890	6402
228	1897	6388
229	1904	6375
230	1911	6363
231	1918	6349
232	1924	6335
233	1931	6321
234	1938	6310
235	1945	6297
236	1951	6284
237	1958	6269
238	1964	6254
239	1970	6239
240	1975	6223
241	1982	6208
242	1987	6193
243	1993	6177
244	1999	6162
245	2005	6147
246	2011	6132
247	2017	6117
248	2023	6102
249	2029	6087
250	2034	6071
251	2041	6058
252	2046	6043
253	2053	6030
254	2060	6018
255	2069	6013
256	2076	6004
257	2085	5997
258	2091	5985
259	2098	5973
260	2106	5963
261	2114	5954
262	2120	5943
263	2127	5932
264	2135	5923
265	2142	5912
266	2149	5901
267	2157	5893
268	2164	5882
269	2172	5874
270	2180	5864
271	2187	5854
272	2195	5846
273	2202	5836
274	2209	5825
275	2217	5816
276	2224	5806
277	2230	5794
278	2238	5785
279	2246	5775
280	2253	5766
281	2259	5753
282	2266	5741
283	2272	5730
284	2278	5717
285	2285	5705
286	2291	5692
287	2297	5679
288	2303	5667
289	2310	5656
290	2316	5643
291	2322	5631
292	2329	5620
293	2336	5611
294	2343	5601
295	2350	5590
296	2358	5582
297	2365	5571
298	2373	5563
299	2381	5557
300	2389	5549
301	2396	5538
302	2404	5530
303	2411	5521
304	2420	5515
305	2428	5508
306	2437	5502
307	2445	5494
308	2453	5486
309	2461	5479
310	2468	5468
311	2476	5460
